ID,RA,DEC
163577,115.478711,-21.1330728
163575,344.098459,41.6038758
163570,127.179189,-34.7316144
163576,135.946278,38.7421269
163568,139.676485,-51.5606514
163571,127.182059,-60.1225756
163573,139.723685,62.8428389
163574,171.959912,45.1852133
163587,76.277757,-68.0864328
163581,172.452047,30.0673314
163584,86.734624,-31.6912119
163585,165.466276,-34.7047281
163583,289.58612,66.4133261
163586,41.641505,-6.7018928
163580,240.294646,-63.7765378
163582,215.720517,53.8103658
163579,115.49585,-25.876175
163591,283.726514,1.1215867
163593,2.46414,61.51404
163595,307.242319,34.1351033
163594,74.92308,40.8360414
163596,190.986149,61.0931969
163597,259.596095,-34.4085072
163598,246.736426,-43.7992075
163602,5.442807,-20.0580236
163603,350.618485,62.7571472
163605,35.242535,50.1514656
163600,265.76444,37.5696697
163604,74.982238,-12.5374156
163608,295.650998,28.3481625
163615,61.651719,27.5999033
163616,110.078451,-8.5497928
163613,301.615331,70.6597831
163610,81.168244,-2.4978475
163614,325.767587,-48.1894942
163617,278.028702,3.6596031
163618,28.784557,43.7656864
163623,332.177684,-33.1256908
163619,259.752167,-38.8142372
163621,104.503895,-0.3759636
163620,146.311714,-62.5079031
163622,172.313066,-63.5539375
163625,222.208383,-71.3283008
163627,110.148145,-46.7083619
163626,5.809465,55.7925572
163624,178.755525,-59.25376
163630,284.015832,17.9953394
163635,146.411698,-45.9111242
163632,87.042744,-20.0236106
163633,295.907365,48.7781514
163637,313.59331,28.5219961
163636,259.874589,-45.639965
163629,253.54419,-1.6123044
163634,357.477726,-42.3007186
163638,272.118619,-21.2531086
163643,165.927581,-51.3526567
163642,159.362783,-58.7333394
163639,28.95104,-55.0721736
163644,178.908485,47.2573961
163645,272.187147,-22.1606811
163647,35.58931,55.8456536
163646,319.842418,38.2374733
163649,75.346616,39.9603936
163641,332.262081,51.0458547
163658,104.766836,-58.5148131
163652,87.23157,-46.3156114
163653,19.364227,38.9505628
163655,159.511021,-57.2563092
163654,313.73972,47.5338053
163656,121.886037,-24.3043242
163659,110.386908,-16.6872211
163657,204.153714,-64.5583194
163666,133.916018,-9.1414878
163664,172.67825,56.7463814
163663,278.351504,58.7064894
163669,253.81663,13.61991
163667,81.645363,-68.86871
163661,284.23762,-67.2334947
163662,253.755529,29.0388686
163660,35.71548,58.5865064
163668,332.532355,40.9196058
163665,29.158727,59.2593669
163671,42.378068,57.0843178
163677,278.489228,31.6400503
163673,357.838909,-18.9091633
163674,296.20306,29.2646919
163670,179.125938,57.8715708
163676,75.530807,-71.3369764
163679,307.876721,74.9546194
163678,228.740493,-59.8417522
163683,153.345186,-51.2329708
163688,204.400227,-56.4764014
163681,93.504863,-61.4732003
163686,116.242594,-31.9082114
163687,345.042184,60.9273372
163685,171.45856,3.8601097
163680,247.426365,-46.2432286
163689,166.239858,-59.8588981
163691,307.947648,-73.0716892
163693,122.11764,-16.5332269
163697,302.206987,12.2283681
163696,140.7119,-9.8387983
163695,216.534266,-45.2214242
163702,183.195911,-70.1517872
163698,302.210081,48.9109508
163699,290.404635,-19.2344458
163700,349.96042,26.2787942
163707,354.316913,62.4289944
163701,172.953332,-59.5156478
163706,62.324315,-16.3858747
163705,69.079757,-3.3524592
163708,302.282336,37.1519669
163710,260.426487,22.9211197
163712,198.207942,-61.5451197
163713,191.930263,-59.6887636
163715,75.873265,-70.6998411
163714,65.280752,81.4284425
163717,222.936018,60.0691811
163723,122.370219,55.2558394
163719,284.71928,69.5312919
163725,166.571675,-65.5097894
163720,326.657952,-67.5963411
163724,314.336792,40.1775069
163727,140.997226,-51.7370806
163721,278.902057,4.9359886
163733,260.663404,-37.8046369
163737,192.100375,-33.6580786
163730,16.450937,61.7549417
163731,99.659115,1.6135183
163729,308.226224,46.6012722
163735,284.811713,31.6815142
163732,23.180109,63.5938028
163738,173.273236,-54.3245936
163740,302.52815,-25.2840161
163741,326.77,17.1941667
163744,82.163496,42.4377322
163743,56.079717,32.2882481
163742,185.907046,-61.6291256
163745,260.69366,-45.6142742
163746,76.108987,-35.7051092
163749,204.802382,47.8961956
163754,198.518271,-2.8069858
163752,351.08633,86.4177881
163751,185.945884,42.5427436
163756,223.146904,-63.8098275
163757,43.059104,-8.2670681
163750,229.311285,36.3592842
163760,123.925417,66.1755556
163763,248.10639,-83.9029192
163766,160.409687,-58.7718708
163764,155.724336,-59.6245503
163762,82.284963,11.8701944
163758,185.338039,-62.2816336
163771,147.524486,49.0754856
163774,345.682903,55.2363831
163776,205.077677,-57.6131803
163777,83.593624,-67.0232172
163770,234.320602,-32.0573225
163778,167.013826,-77.6548572
163782,7.333897,79.8783406
163780,352.105118,-25.4205428
163785,160.595955,-61.1659131
163787,352.131059,-47.4536233
163784,186.237219,42.8547375
163781,16.825908,-72.4676828
163786,331.46341,48.2314942
163783,64.321649,47.4001756
